DrugBank ID,Smiles,Name,Predicted negative probability,Predicted positive probability,Predicted classification
DB00593,O=C1NC(=O)CC1(CC)C,Ethosuximide,9.99E-01,7.24E-04,0
DB00592,N1CCNCC1,Piperazine,9.69E-01,3.15E-02,0
DB00591,F[C@@]12[C@H]([C@@H]3C[C@H]4OC(O[C@@]4(C(=O)CO)[C@]3(C[C@@H]1O)C)(C)C)C[C@H](F)C1=CC(=O)C=C[C@@]12C,Fluocinolone Acetonide,9.69E-01,3.05E-02,0
DB00590,O1c2c(OCC1C(=O)N1CCN(CC1)c1nc(N)c3cc(OC)c(OC)cc3n1)cccc2,Doxazosin,6.11E-01,3.89E-01,0
DB00589,O=C(N[C@H]1C=C2[C@H](N(C1)C)Cc1c3c2cccc3[nH]c1)N(CC)CC,Lisuride,6.15E-02,9.39E-01,1
DB00588,S(C(=O)[C@]1(OC(=O)CC)[C@@]2([C@H]([C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C2)C[C@H]1C)C)CF,Fluticasone Propionate,9.12E-01,8.81E-02,0
DB00587,s1cc(nc1\C=C\c1cc(NC(=O)CC(CC)(CC)C(O)=O)ccc1)C1CCC1,Cinalukast,4.95E-01,5.05E-01,1
DB00586,Clc1cccc(Cl)c1Nc1ccccc1CC(O)=O,Diclofenac,8.08E-01,1.92E-01,0
DB00585,s1cc(nc1CN(C)C)CSCCN\C(\NC)=C\[N+](=O)[O-],Nizatidine,1.19E-01,8.81E-01,1
DB00584,O(CC)C(=O)[C@@H](N[C@H](C(=O)N1CCC[C@H]1C(O)=O)C)CCc1ccccc1,Enalapril,9.78E-01,2.19E-02,0
DB00583,O=C([O-])C[C@@H](O)C[N+](C)(C)C,L-Carnitine,1.00E+00,1.81E-07,0
DB00582,Fc1cc(F)ccc1[C@](O)([C@@H](C)c1ncncc1F)Cn1ncnc1,Voriconazole,9.02E-01,9.79E-02,0
DB00581,O1[C@](O)(CO)[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H]1CO,Lactulose,9.99E-01,5.35E-04,0
DB00579,Clc1ccc(cc1)C1(O)N2C(=NCC2)c2c1cccc2,Mazindol,6.99E-01,3.01E-01,0
DB00578,S1[C@H]2N([C@@H](C(O)=O)C1(C)C)C(=O)[C@H]2NC(=O)C(C(O)=O)c1ccccc1,Carbenicillin,9.98E-01,1.60E-03,0
DB00577,O=C1N=C(Nc2n(cnc12)COCCOC(=O)[C@@H](N)C(C)C)N,Valaciclovir,9.41E-01,5.86E-02,0
DB00576,s1c(nnc1NS(=O)(=O)c1ccc(N)cc1)C,Sulfamethizole,9.90E-01,1.02E-02,0
DB00575,Clc1cccc(Cl)c1NC=1NCCN=1,Clonidine,1.80E-01,8.20E-01,1
DB00573,O(c1cc(ccc1)C(C(O)=O)C)c1ccccc1,Fenoprofen,9.84E-01,1.58E-02,0
DB00572,O(C(=O)C(CO)c1ccccc1)C1C[C@@H]2N([C@H](C1)CC2)C,Atropine,8.56E-01,1.44E-01,0
DB00571,O(CC(O)CNC(C)C)c1c2c(ccc1)cccc2,Propranolol,7.41E-01,2.59E-01,0
DB00570,O(C)c1cc2N([C@@H]3[C@@]4([C@H]5N(CC=C[C@@]5(CC)[C@@H](OC(=O)C)[C@]3(O)C(OC)=O)CC4)c2cc1[C@@]1(c2[nH]c3c(c2CCN2C[C@@](O)(C[C@H](C1)C2)CC)cccc3)C(OC)=O)C,Vinblastine,6.44E-01,3.56E-01,0
DB00569,S(=O)(=O)([O-])N[C@@H]1[C@@H](OS(=O)(=O)[O-])[C@H](O[C@@H]2O[C@H](C(O)=O)[C@@H](O[C@H]3O[C@H](COS(=O)(=O)[O-])[C@@H](O)[C@H](O)[C@H]3NS(=O)(=O)[O-])[C@H](O)[C@H]2O)[C@H](O[C@@H]1O[C@H]1[C@H](O)[C@@H](OS(=O)(=O)[O-])[C@@H](O[C@H]1C(O)=O)O[C@H]1[C@H](O)[C@@H](NS(=O)(=O)[O-])[C@H](O[C@@H]1COS(=O)(=O)[O-])OC)COS(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],Fondaparinux sodium,5.95E-20,1.00E+00,1
DB00568,N1(CCN(CC1)CC=Cc1ccccc1)C(c1ccccc1)c1ccccc1,Cinnarizine,2.21E-02,9.78E-01,1
DB00567,S1[C@H]2N(C(C(O)=O)=C(C1)C)C(=O)[C@H]2NC(=O)[C@H](N)c1ccccc1,Cephalexin,9.89E-01,1.08E-02,0
DB00566,SC(C(S)C(O)=O)C(O)=O,Succimer,1.00E+00,5.69E-05,0
DB00565,S(=O)(=O)([O-])c1ccccc1.S(=O)(=O)([O-])c1ccccc1.O(C)c1cc(ccc1OC)C[C@H]1[N@+](CCc2cc(OC)c(OC)cc12)(CCC(OCCCCCOC(=O)CC[N@+]1(CCc2cc(OC)c(OC)cc2[C@H]1Cc1cc(OC)c(OC)cc1)C)=O)C,Cisatracurium besylate,2.34E-22,1.00E+00,1
DB00564,O=C(N)N1c2c(C=Cc3c1cccc3)cccc2,Carbamazepine,9.73E-01,2.75E-02,0
DB00563,OC(=O)CC[C@H](NC(=O)c1ccc(N(Cc2nc3c(nc(nc3N)N)nc2)C)cc1)C(O)=O,Methotrexate,9.00E-01,1.00E-01,0
DB00562,Clc1cc2NC(=NS(=O)(=O)c2cc1S(=O)(=O)N)CSCc1ccccc1,Benzthiazide,6.05E-01,3.95E-01,0
DB00561,O1CCN(CC1)CCC1CN(CC)C(=O)C1(c1ccccc1)c1ccccc1,Doxapram,7.94E-02,9.21E-01,1
DB00560,OC=1[C@@H](N(C)C)[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C=1C(=O)N)C(=O)c1c(C3)c(N(C)C)cc(NC(=O)CNC(C)(C)C)c1O,Tigecycline,8.92E-01,1.08E-01,0
DB00559,S(=O)(=O)(Nc1nc(nc(OCCO)c1Oc1ccccc1OC)-c1ncccn1)c1ccc(cc1)C(C)(C)C,Bosentan,4.16E-01,5.84E-01,1
DB00558,O1[C@@H]([C@H](O)[C@H](O)CO)[C@H](NC(=O)C)[C@@H](N=C(N)N)C=C1C(O)=O,Zanamivir,9.99E-01,1.24E-03,0
DB00557,Clc1ccc(cc1)C(N1CCN(CC1)CCOCCO)c1ccccc1,Hydroxyzine,5.91E-02,9.41E-01,1
DB00556,FC(F)(C(F)(F)F)C(F)(F)F,Perflutren,9.20E-01,8.01E-02,0
DB00555,Clc1c(cccc1Cl)-c1nnc(nc1N)N,Lamotrigine,9.05E-01,9.51E-02,0
DB00554,S1(=O)(=O)N(C)C(C(=O)Nc2ncccc2)=C(O)c2c1cccc2,Piroxicam,9.85E-01,1.51E-02,0
DB00553,O1c2c(C=CC1=O)cc1c(occ1)c2OC,Methoxsalen,9.48E-01,5.17E-02,0
DB00552,O1[C@H](CO)[C@@H](O)C[C@@H]1n1c2N=CNC[C@@H](O)c2nc1,Pentostatin,9.92E-01,7.62E-03,0
DB00551,O=C(NO)C,Acetohydroxamic Acid,9.99E-01,1.08E-03,0
DB00550,S=C1NC(=CC(=O)N1)CCC,Propylthiouracil,9.85E-01,1.47E-02,0
DB00549,S(=O)(=O)(NC(=O)c1cc(OC)c(cc1)Cc1c2cc(NC(OC3CCCC3)=O)ccc2n(c1)C)c1ccccc1C,Zafirlukast,4.59E-01,5.41E-01,1
DB00548,OC(=O)CCCCCCCC(O)=O,Azelaic Acid,9.99E-01,1.23E-03,0
DB00547,F[C@@]12[C@H]([C@@H]3C[C@@H](C)[C@H](C(=O)CO)[C@]3(C[C@@H]1O)C)CCC1=CC(=O)C=C[C@@]12C,Desoximetasone,9.74E-01,2.59E-02,0
DB00546,Clc1cc2c(-n3c(nnc3CN(C)C)CN=C2c2ccccc2)cc1,Adinazolam,2.97E-01,7.03E-01,1
DB00545,O(C(=O)N(C)C)c1ccc[n+](c1)C,Pyridostigmine,9.81E-01,1.90E-02,0
DB00544,FC1=CNC(=O)NC1=O,Fluorouracil,9.95E-01,4.87E-03,0
DB00543,Clc1cc2c(Oc3c(N=C2N2CCNCC2)cccc3)cc1,Amoxapine,1.73E-02,9.83E-01,1
DB00542,O=C1N(c2c(CC[C@@H]1N[C@@H](CCc1ccccc1)C(OCC)=O)cccc2)CC(O)=O,Benazepril,8.21E-01,1.79E-01,0
DB00541,O(C)c1cc2N([C@@H]3[C@@]4([C@H]5N(CC=C[C@@]5(CC)[C@@H](OC(=O)C)[C@]3(O)C(OC)=O)CC4)c2cc1[C@@]1(c2[nH]c3c(c2CCN2C[C@@](O)(C[C@H](C1)C2)CC)cccc3)C(OC)=O)C=O,Vincristine,7.67E-01,2.33E-01,0
DB00540,N(CCC=C1c2c(CCc3c1cccc3)cccc2)C,Nortriptyline,3.44E-02,9.66E-01,1
DB00539,ClCC\C(=C(\c1ccc(OCCN(C)C)cc1)/c1ccccc1)\c1ccccc1,Toremifene,7.16E-03,9.93E-01,1
DB00538,[Gd+3].O(CCNC(=O)CN(CCN(CCN(CC(=O)NCCOC)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])C,Gadoversetamide,1.00E+00,6.83E-07,0
DB00537,Fc1cc2c(N(C=C(C(O)=O)C2=O)C2CC2)cc1N1CCNCC1,Ciprofloxacin,9.85E-01,1.51E-02,0
DB00536,NC(N)=N,Guanidine,9.62E-01,3.78E-02,0
DB00535,s1cc(nc1N)/C(=N/O)/C(=O)N[C@H]1[C@H]2SCC(C=C)=C(N2C1=O)C(O)=O,Cefdinir,9.98E-01,2.21E-03,0
DB00534,[Hg](Cl)CC(OC)CNC(=O)N,Chlormerodrin,9.75E-01,2.55E-02,0
DB00531,ClCCN(P1(OCCCN1)=O)CCCl,Cyclophosphamide,9.63E-01,3.69E-02,0
DB00530,O(CCOC)c1cc2c(ncnc2Nc2cc(ccc2)C#C)cc1OCCOC,Erlotinib,9.11E-02,9.09E-01,1
DB00529,P(O)(O)(=O)C(O)=O,Foscarnet,9.99E-01,6.71E-04,0
DB00528,O(C(=O)C=1C(C(C(OC)=O)=C(NC=1C)C)c1cc([N+](=O)[O-])ccc1)C(CN(CCC(c1ccccc1)c1ccccc1)C)(C)C,Lercanidipine,2.27E-01,7.73E-01,1
DB00527,O(CCCC)c1nc2c(cccc2)c(c1)C(=O)NCCN(CC)CC,Cinchocaine,3.89E-02,9.61E-01,1
DB00526,[Pt]12(OC(=O)C(O1)=O)N[C@H]1[C@H](N2)CCCC1,Oxaliplatin,9.99E-01,6.37E-04,0
DB00525,S=C(Oc1cc2c(cc1)cccc2)N(C)c1cc(ccc1)C,Tolnaftate,3.57E-01,6.43E-01,1
DB00524,Clc1cc2NC(N(c3ccccc3C)C(=O)c2cc1S(=O)(=O)N)C,Metolazone,6.62E-01,3.38E-01,0
DB00523,OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,Alitretinoin,9.10E-01,8.98E-02,0
DB00521,O(CC(O)CNC(C)(C)C)c1c2CCC(=O)Nc2ccc1,Carteolol,8.60E-01,1.40E-01,0
DB00520,Oc1ccc(cc1)[C@H](O)[C@@H](O)[C@@H]1NC(=O)[C@H]2N(C[C@H](O)C2)C(=O)[C@@H](NC(=O)[C@@H](NC(=O)CCCCCCCCC(CC(CC)C)C)C[C@@H](O)[C@H](NC(=O)[C@H]2N(CC[C@@H]2O)C(=O)[C@@H](NC1=O)[C@H](O)CCN)NCCN)[C@H](O)C,Caspofungin,7.73E-02,9.23E-01,1
DB00519,O(CC)C(=O)[C@@H](N[C@H](C(=O)N1[C@@H]2[C@@H](C[C@H]1C(O)=O)CCCC2)C)CCc1ccccc1,Trandolapril,9.06E-01,9.43E-02,0
DB00518,S(CCC)c1cc2[nH]c(nc2cc1)NC(OC)=O,Albendazole,8.21E-01,1.79E-01,0
DB00517,[Br-].O(C(=O)C(CCC)CCC)C1CC2[N+](C(C1)CC2)(C)C,Anisotropine Methylbromide,9.73E-01,2.71E-02,0
DB00516,[Si](=O)=O.[AlH2-]([OH2+])O[AlH2-][OH2+].O,Bentoquatam,9.98E-01,2.35E-03,0
DB00515,[Pt](Cl)(Cl)(N)N,Cisplatin,9.93E-01,7.29E-03,0
DB00514,O(C)c1cc2[C@]34[C@@H]([C@@H](N(CC3)C)Cc2cc1)CCCC4,Dextromethorphan,9.82E-02,9.02E-01,1
DB00513,OC(=O)CCCCCN,Aminocaproic Acid,9.97E-01,3.39E-03,0
DB00512,Clc1c2Oc3cc4[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@H](NC)CC(C)C)[C@H](O)c(c1)cc2)CC(=O)N)C(=O)N[C@@H]1c2cc(-c5c(cc(O)cc5O)[C@H](NC(=O)[C@@H](NC1=O)[C@H](O)c1cc(Cl)c(Oc(c4)c3O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@@H](C)[C@@H](O)[C@@](N)(C3)C)cc1)C(O)=O)c(O)cc2,Vancomycin,1.46E-04,1.00E+00,1
DB00511,O1CC(=CC1=O)[C@H]1CC[C@]2(O)[C@H]3[C@H](CC[C@]12C)[C@@]1([C@@H](C[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@@H]4O[C@H](C)[C@@H](O[C@@H]5O[C@H](C)[C@@H](O)[C@@H](OC(=O)C)C5)[C@@H](O)C4)[C@@H](O)C2)CC1)CC3)C,Acetyldigitoxin,4.29E-01,5.71E-01,1
DB00509,Ic1cc(cc(I)c1Oc1cc(I)c(O)c(I)c1)C[C@@H](N)C(O)=O,Dextrothyroxine,9.63E-01,3.71E-02,0
DB00508,S1c2c(N(c3c1cccc3)CCCN(C)C)cc(cc2)C(F)(F)F,Triflupromazine,4.35E-03,9.96E-01,1
DB00507,s1c([N+](=O)[O-])cnc1NC(=O)c1ccccc1OC(=O)C,Nitazoxanide,9.57E-01,4.28E-02,0
DB00504,Oc1cc2[C@@]34[C@H]([C@H](N(CC3)CC=C)Cc2cc1)CCCC4,Levallorphan,5.04E-01,4.96E-01,0
DB00503,s1cncc1COC(=O)N[C@H]([C@@H](O)C[C@@H](NC(=O)[C@@H](NC(=O)N(Cc1nc(sc1)C(C)C)C)C(C)C)Cc1ccccc1)Cc1ccccc1,Ritonavir,4.47E-01,5.53E-01,1
DB00502,Clc1ccc(cc1)C1(O)CCN(CC1)CCCC(=O)c1ccc(F)cc1,Haloperidol,4.80E-02,9.52E-01,1
DB00501,S(Cc1nc[nH]c1C)CCN\C(=N\C)\NC#N,Cimetidine,8.61E-01,1.39E-01,0
DB00500,OC(=O)Cc1n(C)c(cc1)C(=O)c1ccc(cc1)C,Tolmetin,9.92E-01,7.85E-03,0
DB00499,FC(F)(F)c1cc(NC(=O)C(C)C)ccc1[N+](=O)[O-],Flutamide,9.21E-01,7.86E-02,0
DB00498,O=C1c2c(cccc2)C(=O)C1c1ccccc1,Phenindione,9.99E-01,6.27E-04,0
DB00497,O1[C@@H]2[C@]34CCN([C@H](Cc5c3c1c(OC)cc5)[C@]4(O)CCC2=O)C,Oxycodone,9.52E-01,4.79E-02,0
DB00496,O1CCc2cc(ccc12)CCN1C[C@@H](CC1)C(C(=O)N)(c1ccccc1)c1ccccc1,Darifenacin,1.15E-01,8.85E-01,1
DB00495,O1[C@H](CO)[C@@H](N=[N+]=[N-])C[C@@H]1N1C=C(C)C(=O)NC1=O,Zidovudine,9.93E-01,6.99E-03,0
DB00494,Oc1c([N+](=O)[O-])cc(cc1O)\C=C(\C(=O)N(CC)CC)/C#N,Entacapone,9.79E-01,2.13E-02,0
DB00493,s1cc(nc1N)/C(=N/OC)/C(=O)N[C@H]1[C@H]2SCC(COC(=O)C)=C(N2C1=O)C(O)=O,Cefotaxime,9.97E-01,2.59E-03,0
DB00492,P(OC(OC(=O)CC)C(C)C)(=O)(CCCCc1ccccc1)CC(=O)N1C[C@@H](C[C@H]1C(O)=O)C1CCCCC1,Fosinopril,7.63E-01,2.37E-01,0
DB00491,O[C@H]1[C@H](O)[C@@H](O)CN(CCO)[C@@H]1CO,Miglitol,9.99E-01,6.22E-04,0
DB00490,O=C1N(CCCCN2CCN(CC2)c2ncccn2)C(=O)CC2(C1)CCCC2,Buspirone,4.16E-01,5.84E-01,1
DB00489,S(=O)(=O)(Nc1ccc(cc1)C(O)CNC(C)C)C,Sotalol,9.57E-01,4.33E-02,0
DB00488,n1c(nc(nc1N(C)C)N(C)C)N(C)C,Altretamine,7.41E-01,2.59E-01,0
DB00487,Fc1cc2c(N(C=C(C(O)=O)C2=O)CC)cc1N1CCN(CC1)C,Pefloxacin,9.70E-01,3.03E-02,0
DB00486,O1c2c([C@H]3[C@@H](CCC(=O)C3)C1(C)C)c(O)cc(c2)C(CCCCCC)(C)C,Nabilone,1.36E-01,8.64E-01,1
DB00485,Clc1cccc(Cl)c1-c1noc(C)c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O,Dicloxacillin,9.62E-01,3.83E-02,0
DB00484,Brc1c2nccnc2ccc1NC=1NCCN=1,Brimonidine,7.94E-01,2.06E-01,0
DB00483,[I-].[I-].[I-].O(CC[N+](CC)(CC)CC)c1c(OCC[N+](CC)(CC)CC)cccc1OCC[N+](CC)(CC)CC,Gallamine Triethiodide,9.91E-01,9.40E-03,0
DB00482,S(=O)(=O)(N)c1ccc(-n2nc(cc2-c2ccc(cc2)C)C(F)(F)F)cc1,Celecoxib,4.21E-01,5.79E-01,1
DB00481,s1c2c(ccc(O)c2)c(C(=O)c2ccc(OCCN3CCCCC3)cc2)c1-c1ccc(O)cc1,Raloxifene,1.03E-01,8.97E-01,1
DB00480,O=C1NC(=O)CCC1N1Cc2c(cccc2N)C1=O,Lenalidomide,9.95E-01,4.86E-03,0
DB00479,O1[C@H](CN)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O[C@H]1[C@H](O)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](N)[C@H]2O)[C@H](NC(=O)[C@@H](O)CCN)C[C@@H]1N,Amikacin,9.97E-01,2.99E-03,0
DB00478,NC(C)C12CC3CC(C1)CC(C2)C3,Rimantadine,8.35E-01,1.65E-01,0
DB00477,Clc1cc2N(c3c(Sc2cc1)cccc3)CCCN(C)C,Chlorpromazine,1.40E-02,9.86E-01,1
DB00476,s1cccc1[C@@H](Oc1c2c(ccc1)cccc2)CCNC,Duloxetine,2.17E-02,9.78E-01,1
DB00475,Clc1cc2c(N=C(NC)C[N+]([O-])=C2c2ccccc2)cc1,Chlordiazepoxide,5.72E-01,4.28E-01,0
DB00474,O=C1N(C)C(=O)NC(=O)C1(C(C#CCC)C)CC=C,Methohexital,9.90E-01,9.79E-03,0
DB00473,O(C(=O)c1ccccc1)C(CNC1CCCCC1)C,Hexylcaine,7.97E-01,2.03E-01,0
DB00472,FC(F)(F)c1ccc(OC(CCNC)c2ccccc2)cc1,Fluoxetine,1.39E-02,9.86E-01,1
DB00471,Clc1cc2nc(ccc2cc1)\C=C\c1cc(ccc1)[C@H](SCC1(CC1)CC(O)=O)CCc1ccccc1C(O)(C)C,Montelukast,1.62E-01,8.38E-01,1
DB00470,O1c2c([C@H]3[C@@H](CCC(=C3)C)C1(C)C)c(O)cc(c2)CCCCC,Dronabinol,1.90E-01,8.10E-01,1
DB00469,s1c2c(S(=O)(=O)N(C)\C(=C(/O)\Nc3ncccc3)\C2=O)cc1,Tenoxicam,9.74E-01,2.57E-02,0
DB00468,O(C)c1cc2c(nccc2[C@@H](O)[C@H]2[N@@]3C[C@@H]([C@H](C2)CC3)C=C)cc1,Quinine,9.84E-02,9.02E-01,1
DB00467,Fc1cc2c(nc1N1CCNCC1)N(C=C(C(O)=O)C2=O)CC,Enoxacin,9.94E-01,6.14E-03,0
DB00465,OC(=O)C1CCn2c1ccc2C(=O)c1ccccc1,Ketorolac,9.97E-01,2.65E-03,0
DB00464,S(OCCCCCCCCCCCCCC)(O)(=O)=O,Sodium Tetradecyl Sulfate,8.52E-01,1.48E-01,0
DB00462,[Br-].O1C2[C@H]3[N+]([C@@H](CC(OC(=O)[C@H](CO)c4ccccc4)C3)C12)(C)C,Methylscopolamine bromide,9.84E-01,1.62E-02,0
DB00461,O(C)c1cc2c(cc(cc2)CCC(=O)C)cc1,Nabumetone,8.04E-01,1.96E-01,0
DB00460,O(C(=O)C1=CC=C2C3=N\C(=C\c4[nH]c(C=C5N=C(C=c6[nH]c(=C3)c(C)c6C=C)C(C)=C5CCC(O)=O)c(CCC(OC)=O)c4C)\[C@]2(C)[C@@H]1C(OC)=O)C,Verteporfin,7.34E-01,2.66E-01,0
DB00459,O(C)c1cc(C)c(\C=C\C(=C\C=C\C(=C\C(O)=O)\C)\C)c(C)c1C,Acitretin,7.83E-01,2.17E-01,0
DB00458,N(CCCN1c2c(CCc3c1cccc3)cccc2)(C)C,Imipramine,2.53E-02,9.75E-01,1
DB00457,o1cccc1C(=O)N1CCN(CC1)c1nc(N)c2cc(OC)c(OC)cc2n1,Prazosin,6.47E-01,3.53E-01,0
DB00456,s1cccc1CC(=O)N[C@H]1[C@H]2SCC(COC(=O)C)=C(N2C1=O)C(O)=O,Cefalotin,9.97E-01,3.06E-03,0
DB00455,Clc1cc2c(cc1)C(c1ncccc1CC2)=C1CCN(CC1)C(OCC)=O,Loratadine,4.80E-02,9.52E-01,1
DB00454,O(C(=O)C1(CCN(CC1)C)c1ccccc1)CC,Pethidine,9.18E-01,8.18E-02,0
DB00453,Clc1c2c(C(=O)C=3[C@H](C[C@@H]4[C@@](O)(C(=O)C(C(=O)NCO)=C(O)[C@H]4N(C)C)C=3O)[C@@]2(O)C)c(O)cc1,Clomocycline,9.80E-01,2.02E-02,0
DB00452,O1[C@@H](CN)[C@@H](O)[C@H](O)[C@@H](N)[C@H]1O[C@H]1[C@@H](O)[C@@H](O[C@@H]1CO)O[C@H]1[C@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2N)[C@@H](N)C[C@@H](N)[C@@H]1O,Framycetin,9.96E-01,3.54E-03,0
DB00451,Ic1cc(cc(I)c1Oc1cc(I)c(O)c(I)c1)C[C@H](N)C(O)=O,Levothyroxine,9.63E-01,3.68E-02,0
DB00450,Fc1ccc(cc1)C(=O)CCCN1CCC(N2c3c(NC2=O)cccc3)=CC1,Droperidol,8.46E-02,9.15E-01,1
DB00449,O(C(=O)C(C)(C)C)c1cc(ccc1OC(=O)C(C)(C)C)C(O)CNC,Dipivefrin,9.42E-01,5.80E-02,0
DB00448,S(=O)(Cc1nccc(OCC(F)(F)F)c1C)c1[nH]c2c(n1)cccc2,Lansoprazole,6.23E-01,3.77E-01,0
DB00446,ClC(Cl)C(=O)N[C@@H]([C@H](O)c1ccc([N+](=O)[O-])cc1)CO,Chloramphenicol,9.88E-01,1.24E-02,0
DB00445,O1[C@@H](C)[C@H](O)[C@@H](N)C[C@@H]1O[C@@H]1c2c(C[C@](O)(C1)C(=O)CO)c(O)c1c(C(=O)c3c(cccc3OC)C1=O)c2O,Epirubicin,9.54E-01,4.58E-02,0
DB00444,s1cccc1C1OC[C@H]2O[C@@H](O[C@H]3[C@@H]4[C@@H]([C@@H](c5c3cc3OCOc3c5)c3cc(OC)c(O)c(OC)c3)C(OC4)=O)[C@H](O)[C@@H](O)[C@@H]2O1,Teniposide,6.78E-01,3.22E-01,0
DB00443,F[C@@]12[C@H]([C@@H]3C[C@H](C)[C@](O)(C(=O)CO)[C@]3(C[C@@H]1O)C)CCC1=CC(=O)C=C[C@@]12C,Betamethasone,9.91E-01,9.34E-03,0
DB00442,O=C1N=C(Nc2n(cnc12)[C@H]1C[C@H](O)[C@@H](CO)C1=C)N,Entecavir,9.47E-01,5.29E-02,0
DB00441,FC1(F)[C@H](O)[C@H](O[C@H]1N1C=CC(=NC1=O)N)CO,Gemcitabine,9.85E-01,1.51E-02,0
DB00440,O(C)c1c(OC)cc(cc1OC)Cc1cnc(nc1N)N,Trimethoprim,7.52E-01,2.48E-01,0
DB00438,s1cc(nc1N)/C(=N/OC(C(O)=O)(C)C)/C(=O)N[C@H]1[C@H]2SCC(C[n+]3ccccc3)=C(N2C1=O)C(=O)[O-],Ceftazidime,9.88E-01,1.19E-02,0
DB00437,O=C1N=CN=C2NNC=C12,Allopurinol,9.93E-01,7.29E-03,0
DB00436,S(=O)(=O)(N)c1cc2S(=O)(=O)NC(Nc2cc1C(F)(F)F)Cc1ccccc1,Bendroflumethiazide,5.59E-01,4.41E-01,0
DB00435,O=N,Nitric Oxide,9.93E-01,7.11E-03,0
DB00434,N1(CCC(CC1)=C1c2c(C=Cc3c1cccc3)cccc2)C,Cyproheptadine,7.76E-02,9.22E-01,1
DB00433,Clc1cc2N(c3c(Sc2cc1)cccc3)CCCN1CCN(CC1)C,Prochlorperazine,1.87E-03,9.98E-01,1
DB00432,FC(F)(F)C1=CN([C@@H]2O[C@H](CO)[C@@H](O)C2)C(=O)NC1=O,Trifluridine,9.88E-01,1.17E-02,0
DB00431,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,Lindane,9.91E-01,9.33E-03,0
DB00430,S1[C@H]2N(C(C(O)=O)=C(C1)CSc1nnnn1C)C(=O)[C@H]2NC(=O)[C@H](NC(=O)c1cnc(cc1O)C)c1ccc(O)cc1,Cefpiramide,9.60E-01,3.98E-02,0
DB00429,O[C@H]1C[C@H](O)[C@H](\C=C\[C@@](O)(CCCCC)C)[C@H]1C\C=C/CCCC(=O)[O-].OCC([NH3+])(CO)CO,Carboprost Tromethamine,7.05E-01,2.95E-01,0
DB00428,O1[C@H](CO)[C@@H](O)[C@H](O)[C@@H](NC(=O)N(N=O)C)[C@H]1O,Streptozocin,9.99E-01,1.21E-03,0
DB00427,n1ccccc1/C(=C/CN1CCCC1)/c1ccc(cc1)C,Triprolidine,5.28E-01,4.72E-01,0
DB00426,O(C(=O)C)CC(CCn1c2nc(ncc2nc1)N)COC(=O)C,Famciclovir,9.85E-01,1.52E-02,0
DB00425,O=C(N(C)C)Cc1n2C=C(C=Cc2nc1-c1ccc(cc1)C)C,Zolpidem,5.59E-01,4.41E-01,0
DB00424,O(C(=O)[C@H](CO)c1ccccc1)C1C[C@@H]2N([C@H](C1)CC2)C,Hyoscyamine,8.57E-01,1.43E-01,0
DB00423,O(CC(O)COC(=O)N)c1ccccc1OC,Methocarbamol,9.50E-01,5.05E-02,0
DB00422,O(C(=O)C(C1NCCCC1)c1ccccc1)C,Methylphenidate,9.39E-01,6.13E-02,0
DB00421,S(C(=O)C)[C@H]1[C@H]2[C@@H]3CC[C@]4(OC(=O)CC4)[C@]3(CC[C@@H]2[C@@]2(C(=CC(=O)CC2)C1)C)C,Spironolactone,8.19E-01,1.81E-01,0
DB00420,S1c2c(N(c3c1cccc3)CCCN(C)C)cccc2,Promazine,6.41E-02,9.36E-01,1
DB00419,O[C@H]1[C@H](O)[C@@H](O)CN(CCCC)[C@@H]1CO,Miglustat,9.98E-01,2.25E-03,0
DB00418,O=C1NC(=O)NC(=O)C1(C(CCC)C)CC=C,Secobarbital,9.91E-01,8.82E-03,0
DB00417,S1[C@H]2N([C@@H](C(O)=O)C1(C)C)C(=O)[C@H]2NC(=O)COc1ccccc1,Phenoxymethylpenicillin,9.87E-01,1.26E-02,0
DB00415,S1[C@H]2N([C@@H](C(O)=O)C1(C)C)C(=O)[C@H]2NC(=O)[C@H](N)c1ccccc1,Ampicillin,9.93E-01,7.19E-03,0
DB00413,s1c2C[C@@H](NCCC)CCc2nc1N,Pramipexole,6.62E-01,3.38E-01,0
